id,Countries and areas,reg,Region,develop,Development regions,cat,Category,Total Point estimate,Children without functional difficulties Point estimate,Children with functional difficulties Point estimate,Time period
4,Bangladesh,5,SA,1,Least Developed,2,Urban,32.8,33.6,20.2,2019
5,Bangladesh,5,SA,1,Least Developed,1,Rural,26.6,26.9,23.2,2019
9,Belarus,2,ECA,3,More Developed,2,Urban,74.6,74.9,68.8,2019
14,Central African Republic,6,SSA,1,Least Developed,2,Urban,2.7,3.1,1.6,2018
15,Central African Republic,6,SSA,1,Least Developed,1,Rural,0.9,0.9,0.9,2018
19,Chad,6,SSA,1,Least Developed,2,Urban,16.7,16.4,17.4,2019
20,Chad,6,SSA,1,Least Developed,1,Rural,4.6,4.2,5.8,2019
24,Democratic Republic of the Congo,6,SSA,1,Least Developed,2,Urban,0.9,1.1,0.2,2017
25,Democratic Republic of the Congo,6,SSA,1,Least Developed,1,Rural,0.2,0.1,0.3,2017
29,Gambia,6,SSA,1,Least Developed,2,Urban,12.3,12.6,9.5,2018
30,Gambia,6,SSA,1,Least Developed,1,Rural,2.6,2.6,3.3,2018
34,Ghana,6,SSA,2,Less Developed,2,Urban,22.0,23.1,17.3,2017
35,Ghana,6,SSA,2,Less Developed,1,Rural,11.2,12.3,7.3,2017
39,Guinea-Bissau,6,SSA,1,Least Developed,2,Urban,8.4,9.4,4.0,2018
40,Guinea-Bissau,6,SSA,1,Least Developed,1,Rural,7.0,7.9,2.3,2018
44,Guyana,3,LAC,2,Less Developed,2,Urban,62.9,65.9,52.7,2020
45,Guyana,3,LAC,2,Less Developed,1,Rural,59.4,61.0,50.6,2020
54,Kiribati,1,EAP,1,Least Developed,2,Urban,18.5,17.8,21.0,2018
55,Kiribati,1,EAP,1,Least Developed,1,Rural,24.6,25.1,22.9,2018
59,Kosovo,2,ECA,0,Not Classified,2,Urban,48.7,49.7,37.6,2019
60,Kosovo,2,ECA,0,Not Classified,1,Rural,37.6,38.3,30.4,2019
64,Kyrgyzstan,2,ECA,2,Less Developed,2,Urban,56.4,57.9,38.8,2018
65,Kyrgyzstan,2,ECA,2,Less Developed,1,Rural,49.0,50.1,39.1,2018
69,Lesotho,6,SSA,1,Least Developed,2,Urban,17.9,17.8,19.1,2018
70,Lesotho,6,SSA,1,Least Developed,1,Rural,11.0,11.4,5.9,2018
74,Madagascar,6,SSA,1,Least Developed,2,Urban,11.8,12.6,6.4,2018
75,Madagascar,6,SSA,1,Least Developed,1,Rural,6.1,6.7,2.2,2018
79,Mongolia,1,EAP,2,Less Developed,2,Urban,44.7,44.8,43.5,2018
80,Mongolia,1,EAP,2,Less Developed,1,Rural,49.2,49.4,44.7,2018
84,Nepal,5,SA,1,Least Developed,2,Urban,41.3,41.6,39.1,2019
85,Nepal,5,SA,1,Least Developed,1,Rural,28.8,29.6,23.3,2019
90,North Macedonia,2,ECA,3,More Developed,1,Rural,37.8,39.4,27.3,2018
94,State of Palestine,4,MENA,2,Less Developed,2,Urban,44.7,46.0,37.0,2020
95,State of Palestine,4,MENA,2,Less Developed,1,Rural,49.7,51.2,38.1,2020
99,Pakistan (Punjab),5,SA,2,Less Developed,2,Urban,15.3,15.7,13.1,2017
100,Pakistan (Punjab),5,SA,2,Less Developed,1,Rural,9.9,10.1,8.8,2017
104,Samoa,1,EAP,2,Less Developed,2,Urban,28.0,28.2,26.5,2020
105,Samoa,1,EAP,2,Less Developed,1,Rural,21.6,21.8,20.8,2020
109,Sao Tome and Principe,6,SSA,1,Least Developed,2,Urban,34.2,36.6,22.3,2019
110,Sao Tome and Principe,6,SSA,1,Least Developed,1,Rural,39.1,42.1,29.9,2019
114,Sierra Leone,6,SSA,1,Least Developed,2,Urban,22.0,21.8,22.4,2017
115,Sierra Leone,6,SSA,1,Least Developed,1,Rural,4.7,4.9,3.9,2017
119,Pakistan (Sindh),5,SA,2,Less Developed,2,Urban,6.5,6.5,6.7,2018
120,Pakistan (Sindh),5,SA,2,Less Developed,1,Rural,1.4,1.4,1.1,2018
124,Suriname,3,LAC,2,Less Developed,2,Urban,27.7,28.7,20.4,2018
125,Suriname,3,LAC,2,Less Developed,1,Rural,18.8,19.7,14.1,2018
134,Togo,6,SSA,1,Least Developed,2,Urban,14.8,15.9,10.9,2017
135,Togo,6,SSA,1,Least Developed,1,Rural,5.5,5.9,4.1,2017
140,Tonga,1,EAP,2,Less Developed,1,Rural,49.8,48.5,60.1,2019
144,Tunisia,4,MENA,2,Less Developed,2,Urban,32.0,33.6,26.4,2018
145,Tunisia,4,MENA,2,Less Developed,1,Rural,19.9,21.2,16.5,2018
159,Zimbabwe,6,SSA,2,Less Developed,2,Urban,41.4,41.7,37.8,2019
160,Zimbabwe,6,SSA,2,Less Developed,1,Rural,19.1,19.8,13.5,2019
